gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,average_score,math_pass,reading_pass,writing_pass,all_subjects_passed,grade,score_std,score_range,strongest_subject,weakest_subject
female,group b,bachelor's degree,standard,none,72,72,74,218,72.67,True,True,True,True,C,1.15,2,writing,math
female,group c,some college,standard,completed,69,90,88,247,82.33,True,True,True,True,B,11.59,21,reading,math
female,group b,master's degree,standard,none,90,95,93,278,92.67,True,True,True,True,A,2.52,5,reading,math
male,group a,associate's degree,free/reduced,none,47,57,44,148,49.33,False,False,False,False,F,6.81,13,reading,writing
male,group c,some college,standard,none,76,78,75,229,76.33,True,True,True,True,C,1.53,3,reading,writing
female,group b,associate's degree,standard,none,71,83,78,232,77.33,True,True,True,True,C,6.03,12,reading,math
female,group b,some college,standard,completed,88,95,92,275,91.67,True,True,True,True,A,3.51,7,reading,math
male,group b,some college,free/reduced,none,40,43,39,122,40.67,False,False,False,False,F,2.08,4,reading,writing
male,group d,high school,free/reduced,completed,64,64,67,195,65.0,True,True,True,True,C,1.73,3,writing,math
female,group b,high school,free/reduced,none,38,60,50,148,49.33,False,True,False,False,F,11.02,22,reading,math
male,group c,associate's degree,standard,none,58,54,52,164,54.67,False,False,False,False,D,3.06,6,math,writing
male,group d,associate's degree,standard,none,40,52,43,135,45.0,False,False,False,False,F,6.24,12,reading,math
female,group b,high school,standard,none,65,81,73,219,73.0,True,True,True,True,C,8.0,16,reading,math
male,group a,some college,standard,completed,78,72,70,220,73.33,True,True,True,True,C,4.16,8,math,writing
female,group a,master's degree,standard,none,50,53,58,161,53.67,False,False,False,False,D,4.04,8,writing,math
female,group c,some high school,standard,none,69,75,78,222,74.0,True,True,True,True,C,4.58,9,writing,math
male,group c,high school,standard,none,88,89,86,263,87.67,True,True,True,True,B,1.53,3,reading,writing
female,group b,some high school,free/reduced,none,18,32,28,78,26.0,False,False,False,False,F,7.21,14,reading,math
male,group c,master's degree,free/reduced,completed,46,42,46,134,44.67,False,False,False,False,F,2.31,4,math,reading
female,group c,associate's degree,free/reduced,none,54,58,61,173,57.67,False,False,True,False,D,3.51,7,writing,math
male,group d,high school,standard,none,66,69,63,198,66.0,True,True,True,True,C,3.0,6,reading,writing
female,group b,some college,free/reduced,completed,65,75,70,210,70.0,True,True,True,True,C,5.0,10,reading,math
male,group d,some college,standard,none,44,54,53,151,50.33,False,False,False,False,D,5.51,10,reading,math
female,group c,some high school,standard,none,69,73,73,215,71.67,True,True,True,True,C,2.31,4,reading,math
male,group d,bachelor's degree,free/reduced,completed,74,71,80,225,75.0,True,True,True,True,C,4.58,9,writing,reading
male,group a,master's degree,free/reduced,none,73,74,72,219,73.0,True,True,True,True,C,1.0,2,reading,writing
male,group b,some college,standard,none,69,54,55,178,59.33,True,False,False,False,D,8.39,15,math,reading
female,group c,bachelor's degree,standard,none,67,69,75,211,70.33,True,True,True,True,C,4.16,8,writing,math
male,group c,high school,standard,none,70,70,65,205,68.33,True,True,True,True,C,2.89,5,math,writing
female,group d,master's degree,standard,none,62,70,75,207,69.0,True,True,True,True,C,6.56,13,writing,math
female,group d,some college,standard,none,69,74,74,217,72.33,True,True,True,True,C,2.89,5,reading,math
female,group b,some college,standard,none,63,65,61,189,63.0,True,True,True,True,D,2.0,4,reading,writing
female,group e,master's degree,free/reduced,none,56,72,65,193,64.33,False,True,True,False,D,8.02,16,reading,math
male,group d,some college,standard,none,40,42,38,120,40.0,False,False,False,False,F,2.0,4,reading,writing
male,group e,some college,standard,none,97,87,82,266,88.67,True,True,True,True,B,7.64,15,math,writing
male,group e,associate's degree,standard,completed,81,81,79,241,80.33,True,True,True,True,B,1.15,2,math,writing
female,group d,associate's degree,standard,none,74,81,83,238,79.33,True,True,True,True,C,4.73,9,writing,math
female,group d,some high school,free/reduced,none,50,64,59,173,57.67,False,True,False,False,D,7.09,14,reading,math
female,group d,associate's degree,free/reduced,completed,75,90,88,253,84.33,True,True,True,True,B,8.14,15,reading,math
male,group b,associate's degree,free/reduced,none,57,56,57,170,56.67,False,False,False,False,D,0.58,1,math,reading
male,group c,associate's degree,free/reduced,none,55,61,54,170,56.67,False,True,False,False,D,3.79,7,reading,writing
female,group c,associate's degree,standard,none,58,73,68,199,66.33,False,True,True,False,C,7.64,15,reading,math
female,group b,associate's degree,standard,none,53,58,65,176,58.67,False,False,True,False,D,6.03,12,writing,math
male,group b,some college,free/reduced,completed,59,65,66,190,63.33,False,True,True,False,D,3.79,7,writing,math
female,group e,associate's degree,free/reduced,none,50,56,54,160,53.33,False,False,False,False,D,3.06,6,reading,math
male,group b,associate's degree,standard,none,65,54,57,176,58.67,True,False,False,False,D,5.69,11,math,reading
female,group a,associate's degree,standard,completed,55,65,62,182,60.67,False,True,True,False,D,5.13,10,reading,math
female,group c,high school,standard,none,66,71,76,213,71.0,True,True,True,True,C,5.0,10,writing,math
female,group d,associate's degree,free/reduced,completed,57,74,76,207,69.0,False,True,True,False,C,10.44,19,writing,math
male,group c,high school,standard,completed,82,84,82,248,82.67,True,True,True,True,B,1.15,2,reading,math
male,group e,some college,standard,none,53,55,48,156,52.0,False,False,False,False,D,3.61,7,reading,writing
male,group e,associate's degree,free/reduced,completed,77,69,68,214,71.33,True,True,True,True,C,4.93,9,math,writing
male,group c,some college,standard,none,53,44,42,139,46.33,False,False,False,False,F,5.86,11,math,writing
male,group d,high school,standard,none,88,78,75,241,80.33,True,True,True,True,B,6.81,13,math,writing
female,group c,some high school,free/reduced,completed,71,84,87,242,80.67,True,True,True,True,B,8.5,16,writing,math
female,group c,high school,free/reduced,none,33,41,43,117,39.0,False,False,False,False,F,5.29,10,writing,math
female,group e,associate's degree,standard,completed,82,85,86,253,84.33,True,True,True,True,B,2.08,4,writing,math
male,group d,associate's degree,standard,none,52,55,49,156,52.0,False,False,False,False,D,3.0,6,reading,writing
male,group d,some college,standard,completed,58,59,58,175,58.33,False,False,False,False,D,0.58,1,reading,math
female,group c,some high school,free/reduced,none,0,17,10,27,9.0,False,False,False,False,F,8.54,17,reading,math
male,group e,bachelor's degree,free/reduced,completed,79,74,72,225,75.0,True,True,True,True,C,3.61,7,math,writing
male,group a,some high school,free/reduced,none,39,39,34,112,37.33,False,False,False,False,F,2.89,5,math,writing
male,group a,associate's degree,free/reduced,none,62,61,55,178,59.33,True,True,False,False,D,3.79,7,math,writing
female,group c,associate's degree,standard,none,69,80,71,220,73.33,True,True,True,True,C,5.86,11,reading,math
female,group d,some high school,standard,none,59,58,59,176,58.67,False,False,False,False,D,0.58,1,math,reading
male,group b,some high school,standard,none,67,64,61,192,64.0,True,True,True,True,D,3.0,6,math,writing
male,group d,some high school,free/reduced,none,45,37,37,119,39.67,False,False,False,False,F,4.62,8,math,reading
female,group c,some college,standard,none,60,72,74,206,68.67,True,True,True,True,C,7.57,14,writing,math
male,group b,associate's degree,free/reduced,none,61,58,56,175,58.33,True,False,False,False,D,2.52,5,math,writing
female,group c,associate's degree,standard,none,39,64,57,160,53.33,False,True,False,False,D,12.9,25,reading,math
female,group d,some college,free/reduced,completed,58,63,73,194,64.67,False,True,True,False,D,7.64,15,writing,math
male,group d,some college,standard,completed,63,55,63,181,60.33,True,False,True,False,D,4.62,8,math,reading
female,group a,associate's degree,free/reduced,none,41,51,48,140,46.67,False,False,False,False,F,5.13,10,reading,math
male,group c,some high school,free/reduced,none,61,57,56,174,58.0,True,False,False,False,D,2.65,5,math,writing
male,group c,some high school,standard,none,49,49,41,139,46.33,False,False,False,False,F,4.62,8,math,writing
male,group b,associate's degree,free/reduced,none,44,41,38,123,41.0,False,False,False,False,F,3.0,6,math,writing
male,group e,some high school,standard,none,30,26,22,78,26.0,False,False,False,False,F,4.0,8,math,writing
male,group a,bachelor's degree,standard,completed,80,78,81,239,79.67,True,True,True,True,C,1.53,3,writing,reading
female,group d,some high school,standard,completed,61,74,72,207,69.0,True,True,True,True,C,7.0,13,reading,math
female,group e,master's degree,standard,none,62,68,68,198,66.0,True,True,True,True,C,3.46,6,reading,math
female,group b,associate's degree,standard,none,47,49,50,146,48.67,False,False,False,False,F,1.53,3,writing,math
male,group b,high school,free/reduced,none,49,45,45,139,46.33,False,False,False,False,F,2.31,4,math,reading
male,group a,some college,free/reduced,completed,50,47,54,151,50.33,False,False,False,False,D,3.51,7,writing,reading
male,group e,associate's degree,standard,none,72,64,63,199,66.33,True,True,True,True,C,4.93,9,math,writing
male,group d,high school,free/reduced,none,42,39,34,115,38.33,False,False,False,False,F,4.04,8,math,writing
female,group c,some college,standard,none,73,80,82,235,78.33,True,True,True,True,C,4.73,9,writing,math
female,group c,some college,free/reduced,none,76,83,88,247,82.33,True,True,True,True,B,6.03,12,writing,math
female,group d,associate's degree,standard,none,71,71,74,216,72.0,True,True,True,True,C,1.73,3,writing,math
female,group a,some college,standard,none,58,70,67,195,65.0,False,True,True,False,C,6.24,12,reading,math
female,group d,some high school,standard,none,73,86,82,241,80.33,True,True,True,True,B,6.66,13,reading,math
female,group c,bachelor's degree,standard,none,65,72,74,211,70.33,True,True,True,True,C,4.73,9,writing,math
male,group c,high school,free/reduced,none,27,34,36,97,32.33,False,False,False,False,F,4.73,9,writing,math
male,group c,high school,standard,none,71,79,71,221,73.67,True,True,True,True,C,4.62,8,reading,math
male,group c,associate's degree,free/reduced,completed,43,45,50,138,46.0,False,False,False,False,F,3.61,7,writing,math
female,group b,some college,standard,none,79,86,92,257,85.67,True,True,True,True,B,6.51,13,writing,math
male,group c,associate's degree,free/reduced,completed,78,81,82,241,80.33,True,True,True,True,B,2.08,4,writing,math
male,group b,some high school,standard,completed,65,66,62,193,64.33,True,True,True,True,D,2.08,4,reading,writing
female,group e,some college,standard,completed,63,72,70,205,68.33,True,True,True,True,C,4.73,9,reading,math
female,group d,some college,free/reduced,none,58,67,62,187,62.33,False,True,True,False,D,4.51,9,reading,math
female,group d,bachelor's degree,standard,none,65,67,62,194,64.67,True,True,True,True,D,2.52,5,reading,writing
male,group b,some college,standard,none,79,67,67,213,71.0,True,True,True,True,C,6.93,12,math,reading
male,group d,bachelor's degree,standard,completed,68,74,74,216,72.0,True,True,True,True,C,3.46,6,reading,math
female,group d,associate's degree,standard,none,85,91,89,265,88.33,True,True,True,True,B,3.06,6,reading,math
male,group b,high school,standard,completed,60,44,47,151,50.33,True,False,False,False,D,8.5,16,math,reading
male,group c,some college,standard,completed,98,86,90,274,91.33,True,True,True,True,A,6.11,12,math,reading
female,group c,some college,standard,none,58,67,72,197,65.67,False,True,True,False,C,7.09,14,writing,math
female,group d,master's degree,standard,none,87,100,100,287,95.67,True,True,True,True,A,7.51,13,reading,math
male,group e,associate's degree,standard,completed,66,63,64,193,64.33,True,True,True,True,D,1.53,3,math,reading
female,group b,associate's degree,free/reduced,none,52,76,70,198,66.0,False,True,True,False,C,12.49,24,reading,math
female,group b,some high school,standard,none,70,64,72,206,68.67,True,True,True,True,C,4.16,8,writing,reading
